,wt,score,lb,ub
0,5.341723565269291,-32.149368499497626,-37.011084856008544,-27.28765214298671
1,8.107799031028911,-32.14079475308824,-36.996096421601955,-27.28549308457452
2,9.638970337343146,-32.140013449542366,-36.99489647558428,-27.28513042350045
3,10.915653102249244,-32.121756800528985,-36.96279214597195,-27.280721455086017
4,12.368844938008124,-32.09731456669701,-36.921059040047695,-27.273570093346322
5,14.059541851360175,-31.82495692195493,-36.48754718856375,-27.16236665534611
6,14.571982734060953,-31.51008197199532,-36.0196882111511,-27.00047573283954
7,15.967325452671608,-31.433594812121044,-35.90888719542569,-26.958302428816395
8,17.19258971989273,-30.38076145894309,-34.454494065085896,-26.307028852800283
9,17.82814235101037,-30.050540078957695,-34.01516483181736,-26.08591532609803
10,18.38080746448398,-30.035477498502708,-33.99255685053728,-26.078398146468142
11,18.979809040905153,-30.017559925110447,-33.964974407574346,-26.070145442646545
12,19.914022396709775,-29.676738304546767,-33.52180881908729,-25.831667790006243
13,21.20739378827099,-29.621604819710655,-33.451166453212124,-25.792043186209185
14,21.51926214964658,-29.551388715861933,-33.369274234019464,-25.7335031977044
15,22.10997421827634,-29.15937577951877,-32.96208698829798,-25.356664570739557
16,23.498798389153798,-28.98690584659778,-32.782449901822375,-25.191361791373183
17,24.53846435807527,-28.969803603006554,-32.76306306846574,-25.176544137547367
18,25.686474984754714,-28.95721887810827,-32.75371711332605,-25.1607206428905
19,26.221539799278606,-28.961382677337234,-32.76575021213268,-25.15701514254179
20,26.858490629000364,-28.919602869339556,-32.725626061738446,-25.11357967694067
21,29.182232113993678,-28.896775035257043,-32.69816214775035,-25.095387922763734
22,29.44357015064775,-28.84612576040162,-32.634179096195936,-25.0580724246073
23,29.699410700104963,-28.44708182073507,-32.18037954192528,-24.713784099544867
24,30.1785015654619,-24.20439174453508,-27.7058089777515,-20.70297451131866
25,30.901644975862748,-24.026585519881415,-27.540743222015934,-20.512427817746897
26,31.498245330265025,-24.032896744428925,-27.551317394092855,-20.514476094764994
27,32.70509654076494,-23.72940234156156,-27.176148126010666,-20.282656557112453
28,33.96807365222054,-23.602771687638644,-27.017824367960603,-20.187719007316684
29,35.44739852375349,-23.560594756358917,-26.959839478913967,-20.161350033803867
30,36.06901240622341,-23.384353478810866,-26.76568020461819,-20.003026753003542
31,36.93745190668706,-21.021685186247048,-24.113915483236433,-17.929454889257663
32,38.74136979211069,-17.54067225407094,-20.603668900540598,-14.477675607601284
33,39.848056248607094,-15.56747431535137,-18.269237967429312,-12.86571066327343
34,40.970829801560356,-13.335713942013049,-15.891884360872131,-10.779543523153967
35,41.662696797513796,-12.294119310530878,-14.555411844063041,-10.032826776998714
36,42.324960623112275,-11.63247845951189,-13.754006709032655,-9.510950209991126
37,42.8234507407133,-11.3323354511115,-13.37454685922683,-9.29012404299617
38,42.94757469462085,-9.938788968565795,-11.791808407812109,-8.085769529319482
39,43.223993009095246,-9.808208692849185,-11.648134919954185,-7.968282465744184
40,43.49163488232859,-9.334904327920228,-11.114749145164957,-7.555059510675499
41,43.859235812259456,-9.27811307035529,-11.058516381610106,-7.497709759100475
42,44.21401729874876,-9.269275134894754,-11.052906745048077,-7.48564352474143
43,44.58417584299361,-9.282694631905477,-11.06889343581738,-7.496495827993573
44,44.8732497917911,-9.289167844310276,-11.077660514758271,-7.50067517386228
45,45.19019012643907,-9.28781297624914,-11.078262159792065,-7.497363792706218
46,45.489375741609464,-9.294857905928815,-11.091406958087855,-7.498308853769774
47,46.09975863591685,-9.300178601090693,-11.100325334005904,-7.500031868175482
48,47.03253338122175,-9.304968522062858,-11.10815470965918,-7.501782334466535
49,47.31347731536269,-9.294910380214606,-11.09778430744706,-7.492036452982151
50,48.39603783013877,-9.12232857368592,-10.898246486289224,-7.346410661082614
51,49.45483231408251,-7.619990337484558,-9.431571362637502,-5.808409312331614
52,49.65539055727247,-6.926518703342005,-8.685475615761398,-5.167561790922611
53,50.12156643801529,-6.891454352422526,-8.649793780901476,-5.133114923943577
